Name,Rating,Food_Produced
Sahel Spot 403,4.0,"Grilled Suya,Fried Masa"
Yankari Palace 404,3.6,"Spicy Jollof Rice,Fried Pounded Yam"
Desert Cuisine 405,3.5,"Spicy Burger,Fried Plantain"
Sahel Kitchen 406,3.7,"Fried Pizza,Fried Fish"
Kanem Cuisine 407,3.7,"Grilled Suya,Spicy Burger"
City Diner 408,4.0,"Baked Shawarma,Fried Afang Soup"
Oasis Palace 409,4.6,"Fried Chicken,Traditional Burger"
Borno Grill 410,4.7,"Sweet Jollof Rice,Spicy Masa"
Kanem Hut 411,4.3,"Spicy Pizza,Spicy Shawarma"
Desert Diner 412,4.0,"Grilled Shawarma,Spicy Afang Soup"
Sambisa Joint 413,4.4,"Savory Egusi Soup,Roasted Jollof Rice"
Desert Feast 414,5.0,"Traditional Pizza,Fried Afang Soup"
Yankari Kitchen 415,4.9,"Roasted Jollof Rice,Sweet Pizza"
Oasis Feast 416,4.8,"Traditional Suya,Smoky Efo Riro"
Borno Feast 417,4.4,"Baked Chicken,Smoky Burger"
Borno Grill 418,4.7,"Baked Afang Soup,Fried Suya"
Desert Joint 419,4.3,"Roasted Burger,Roasted Chicken"
Royal Joint 420,3.5,"Grilled Fish,Baked Plantain"
Sahel Cuisine 421,3.8,"Tangy Efo Riro,Traditional Pounded Yam"
Royal Palace 422,4.0,"Tangy Chicken,Baked Jollof Rice"
Golden Feast 423,4.0,"Traditional Pounded Yam,Baked Pizza"
City Spot 424,4.0,"Savory Burger,Traditional Afang Soup"
Royal Hut 425,4.1,"Savory Masa,Grilled Fish"
Desert Spot 426,3.9,"Traditional Fish,Tangy Shawarma"
Desert Feast 427,3.8,"Traditional Egusi Soup,Grilled Fish"
Sambisa Cuisine 428,3.5,"Baked Afang Soup,Smoky Chicken"
Sahel Cuisine 429,4.3,"Fried Masa,Savory Pounded Yam"
City Diner 430,3.7,"Smoky Burger,Fried Jollof Rice"
Oasis Hut 431,4.4,"Tangy Plantain,Sweet Masa"
Desert Grill 432,4.1,"Traditional Shawarma,Baked Afang Soup"
Oasis Feast 433,4.3,"Savory Jollof Rice,Spicy Pizza"
Desert Cuisine 434,3.8,"Traditional Afang Soup,Smoky Masa"
Oasis Joint 435,4.5,"Sweet Efo Riro,Grilled Pizza"
Borno Joint 436,4.6,"Sweet Egusi Soup,Fried Plantain"
City Cuisine 437,4.7,"Baked Chicken,Roasted Masa"
Sahel Kitchen 438,3.9,"Sweet Burger,Sweet Suya"
Sahel Palace 439,4.6,"Fried Jollof Rice,Traditional Efo Riro"
Desert Hut 440,3.8,"Spicy Burger,Grilled Plantain"
Sambisa Hut 441,4.6,"Roasted Pizza,Smoky Suya"
Borno Cuisine 442,3.6,"Fried Egusi Soup,Sweet Pizza"
Borno Feast 443,5.0,"Spicy Masa,Savory Egusi Soup"
Sahel Joint 444,4.7,"Smoky Shawarma,Baked Masa"
Sambisa Kitchen 445,4.6,"Savory Fish,Traditional Afang Soup"
Sambisa Joint 446,4.3,"Spicy Egusi Soup,Fried Efo Riro"
Kanem Palace 447,4.4,"Grilled Pizza,Roasted Shawarma"
Kanem Feast 448,4.6,"Baked Burger,Baked Pizza"
Yankari Grill 449,4.7,"Smoky Masa,Tangy Fish"
Kanem Feast 450,4.4,"Sweet Pounded Yam,Fried Masa"
Sambisa Joint 451,4.3,"Savory Pounded Yam,Smoky Egusi Soup"
Oasis Spot 452,3.6,"Traditional Jollof Rice,Tangy Shawarma"
Borno Palace 453,4.4,"Fried Masa,Sweet Pounded Yam"
Royal Grill 454,4.5,"Spicy Pounded Yam,Savory Efo Riro"
Sahel Hut 455,4.6,"Traditional Pounded Yam,Smoky Shawarma"
Borno Cuisine 456,3.7,"Baked Pounded Yam,Spicy Burger"
Royal Cuisine 457,4.0,"Roasted Egusi Soup,Grilled Plantain"
Yankari Hut 458,4.1,"Baked Masa,Sweet Jollof Rice"
Desert Feast 459,4.6,"Smoky Masa,Tangy Suya"
Oasis Joint 460,4.7,"Baked Jollof Rice,Smoky Fish"
Desert Spot 461,4.5,"Tangy Masa,Fried Jollof Rice"
Yankari Spot 462,3.8,"Baked Shawarma,Tangy Afang Soup"
Oasis Spot 463,4.5,"Baked Masa,Roasted Burger"
Borno Spot 464,4.3,"Roasted Afang Soup,Sweet Suya"
Desert Spot 465,4.6,"Traditional Jollof Rice,Grilled Pizza"
City Palace 466,3.9,"Fried Fish,Spicy Egusi Soup"
Oasis Cuisine 467,3.7,"Traditional Egusi Soup,Smoky Pounded Yam"
Borno Grill 468,3.6,"Savory Shawarma,Savory Egusi Soup"
Sambisa Grill 469,4.8,"Savory Efo Riro,Smoky Plantain"
Sambisa Spot 470,4.3,"Fried Afang Soup,Grilled Efo Riro"
Oasis Hut 471,3.7,"Baked Masa,Fried Pounded Yam"
Royal Palace 472,3.6,"Sweet Suya,Smoky Chicken"
Golden Joint 473,4.6,"Traditional Chicken,Spicy Fish"
Desert Cuisine 474,4.6,"Fried Afang Soup,Smoky Suya"
Kanem Joint 475,4.1,"Baked Suya,Grilled Burger"
Borno Kitchen 476,3.9,"Spicy Jollof Rice,Smoky Plantain"
Yankari Bites 477,4.1,"Baked Egusi Soup,Baked Afang Soup"
Borno Palace 478,4.8,"Fried Jollof Rice,Fried Shawarma"
Yankari Cuisine 479,4.3,"Fried Egusi Soup,Grilled Shawarma"
Sahel Grill 480,3.6,"Tangy Jollof Rice,Roasted Plantain"
Royal Kitchen 481,5.0,"Savory Burger,Traditional Pizza"
Desert Hut 482,4.1,"Smoky Efo Riro,Baked Jollof Rice"
Yankari Cuisine 483,4.9,"Sweet Chicken,Grilled Burger"
City Joint 484,4.9,"Spicy Masa,Roasted Shawarma"
Yankari Diner 485,4.2,"Fried Afang Soup,Spicy Pizza"
Sahel Spot 486,4.0,"Smoky Fish,Smoky Shawarma"
City Diner 487,3.9,"Traditional Burger,Sweet Plantain"
Yankari Grill 488,3.8,"Savory Afang Soup,Smoky Egusi Soup"
Royal Feast 489,3.7,"Spicy Jollof Rice,Roasted Afang Soup"
Sambisa Bites 490,4.6,"Savory Efo Riro,Traditional Shawarma"
Royal Palace 491,4.1,"Roasted Burger,Fried Pounded Yam"
Golden Cuisine 492,4.0,"Roasted Afang Soup,Sweet Plantain"
Sahel Palace 493,4.9,"Grilled Suya,Tangy Pounded Yam"
Golden Grill 494,4.0,"Smoky Suya,Tangy Egusi Soup"
Oasis Palace 495,3.9,"Roasted Fish,Grilled Plantain"
Golden Bites 496,4.0,"Roasted Shawarma,Baked Egusi Soup"
Yankari Palace 497,4.9,"Smoky Fish,Fried Jollof Rice"
Oasis Feast 498,4.0,"Fried Chicken,Sweet Fish"
Oasis Hut 499,4.3,"Fried Plantain,Baked Shawarma"
Kanem Kitchen 500,5.0,"Spicy Fish,Sweet Pizza"
